grade,emp_length,home_ownership,income,state,debt to income,earliest credit,
A,< 1 year,OWN,125000,NM,18,2005,
A,2 years,RENT,60000,CA,12,2005,
A,3 years,MORTGAGE,100000,MO,11,2007,
A,7 years,OWN,125000,FL,7,1993,
A,6 years,OWN,150000,CA,17,1994,
A,7 years,MORTGAGE,40000,FL,13,2005,
A,10+ years,MORTGAGE,100000,NC,11,1987,
A,2 years,MORTGAGE,60000,IN,19,2004,
A,9 years,MORTGAGE,150000,MI,9,2001,
A,3 years,RENT,30000,MI,13,2007,
A,10+ years,MORTGAGE,100000,MD,21,1999,
A,5 years,MORTGAGE,40000,MI,16,2004,
A,7 years,MORTGAGE,100000,TX,13,2013,
A,1 year,MORTGAGE,40000,MO,10,1992,
A,7 years,OWN,100000,GA,19,2004,
A,2 years,MORTGAGE,60000,TX,18,2000,
A,4 years,MORTGAGE,150000,TN,16,1984,
A,10+ years,RENT,80000,NE,19,2004,
A,< 1 year,MORTGAGE,80000,WI,5,2002,
A,< 1 year,MORTGAGE,20000,GA,11,2002,
A,10+ years,MORTGAGE,40000,IL,22,1996,
A,10+ years,MORTGAGE,80000,IL,14,1986,
A,10+ years,RENT,40000,MN,17,2007,
A,< 1 year,MORTGAGE,40000,GA,25,1994,
A,10+ years,OWN,60000,TX,9,1985,
A,2 years,RENT,30000,UT,11,2009,
A,8 years,RENT,100000,MD,15,2004,
A,2 years,RENT,60000,VA,12,1987,
A,< 1 year,RENT,150000,FL,7,1999,
A,1 year,OWN,40000,IL,7,2007,
A,3 years,RENT,80000,MI,27,2004,
A,10+ years,MORTGAGE,60000,TX,24,1982,
A,2 years,MORTGAGE,40000,GA,12,2005,
A,3 years,OWN,30000,IL,12,1996,
A,3 years,MORTGAGE,150000,TX,8,1999,
A,3 years,OWN,40000,LA,28,2001,
A,< 1 year,MORTGAGE,60000,TX,17,1991,
A,8 years,MORTGAGE,150000,VA,11,1990,
A,3 years,RENT,30000,CA,18,2010,
A,10+ years,RENT,80000,HI,26,2004,
A,4 years,MORTGAGE,80000,NC,32,2001,
A,5 years,RENT,80000,MN,14,2003,
A,9 years,MORTGAGE,100000,VA,12,1988,
A,n/a,RENT,40000,NY,13,2004,
A,6 years,MORTGAGE,80000,OH,12,1997,
A,9 years,MORTGAGE,125000,NY,14,1983,
A,3 years,MORTGAGE,30000,AR,30,2006,
A,1 year,MORTGAGE,40000,PA,21,2001,
A,< 1 year,MORTGAGE,150000,TX,12,1996,
A,3 years,RENT,20000,CO,5,2007,
A,< 1 year,RENT,125000,NY,12,2005,
A,10+ years,RENT,40000,CA,11,2005,
A,10+ years,MORTGAGE,60000,LA,15,1989,
A,5 years,MORTGAGE,60000,CA,31,2001,
A,10+ years,MORTGAGE,80000,PA,13,1995,
A,3 years,MORTGAGE,40000,NC,13,2006,
A,10+ years,MORTGAGE,125000,TN,18,1986,
A,10+ years,MORTGAGE,40000,WI,30,2001,
A,n/a,MORTGAGE,40000,TN,14,2003,
A,< 1 year,MORTGAGE,60000,UT,23,2001,
A,7 years,RENT,40000,UT,22,1992,
A,2 years,MORTGAGE,80000,MO,17,2000,
A,2 years,MORTGAGE,150000,NY,17,1982,
A,< 1 year,MORTGAGE,150000,AZ,16,1997,
A,1 year,MORTGAGE,80000,AL,14,1999,
A,< 1 year,MORTGAGE,125000,LA,22,2003,
A,3 years,RENT,30000,CA,24,1998,
A,9 years,MORTGAGE,125000,MD,18,2002,
A,10+ years,MORTGAGE,150000,WA,31,1997,
A,7 years,MORTGAGE,80000,CA,19,2005,
A,7 years,RENT,100000,NY,9,2010,
A,10+ years,MORTGAGE,40000,MD,17,1989,
A,5 years,MORTGAGE,40000,WI,12,2002,
A,4 years,MORTGAGE,60000,FL,16,2004,
A,1 year,MORTGAGE,40000,IL,8,2005,
A,9 years,MORTGAGE,60000,NY,27,2001,
A,10+ years,MORTGAGE,60000,TN,31,1993,
A,10+ years,MORTGAGE,60000,TX,21,2003,
A,10+ years,MORTGAGE,100000,PA,16,2000,
A,3 years,MORTGAGE,150000,CA,10,1988,
A,< 1 year,OWN,60000,FL,12,2002,
A,5 years,MORTGAGE,60000,FL,17,1999,
A,< 1 year,RENT,80000,IL,6,2000,
A,10+ years,MORTGAGE,150000,GA,26,1994,
A,10+ years,OWN,60000,TN,11,2001,
A,4 years,RENT,80000,PA,4,2003,
A,10+ years,MORTGAGE,150000,LA,12,1995,
A,3 years,MORTGAGE,150000,CA,12,2003,
A,3 years,MORTGAGE,80000,MD,19,2004,
A,< 1 year,RENT,150000,CA,26,1995,
A,10+ years,MORTGAGE,100000,CA,26,2005,
A,6 years,MORTGAGE,60000,IN,21,1996,
A,n/a,MORTGAGE,10000,MO,,1997,
A,3 years,OWN,40000,TX,7.64,2001,
A,10+ years,OWN,40000,UT,14.5,1988,
A,10+ years,RENT,40000,OH,17.17,1990,
A,2 years,MORTGAGE,60000,FL,34.98,1998,
A,< 1 year,MORTGAGE,30000,MO,39.54,2004,
A,n/a,MORTGAGE,80000,FL,13.45,1997,
A,10+ years,MORTGAGE,100000,AL,11.38,1994,
A,10+ years,MORTGAGE,80000,VA,14.1,2006,
A,10+ years,MORTGAGE,150000,NV,4.33,1997,
A,3 years,RENT,30000,NY,14.5,2010,
A,n/a,MORTGAGE,40000,FL,21.44,1987,
A,10+ years,MORTGAGE,150000,TN,12.51,1991,
A,10+ years,OWN,80000,MI,21.85,1985,
A,2 years,OWN,80000,NC,5.22,1999,
A,n/a,MORTGAGE,20000,FL,23.48,1998,
A,10+ years,MORTGAGE,125000,TX,15.86,1999,
A,< 1 year,MORTGAGE,40000,OH,14.63,2010,
A,< 1 year,RENT,100000,TX,10.06,2002,
A,2 years,RENT,60000,FL,23.19,2011,
A,10+ years,MORTGAGE,150000,NJ,20.57,1971,
A,6 years,MORTGAGE,60000,WY,4.49,2012,
A,10+ years,MORTGAGE,40000,SC,25.93,2005,
A,3 years,RENT,80000,TX,17.82,1987,
A,2 years,MORTGAGE,150000,NY,3.3,2001,
A,< 1 year,MORTGAGE,80000,IN,19.48,2003,
A,10+ years,MORTGAGE,100000,CT,6.04,2002,
A,3 years,RENT,30000,OH,17.48,2012,
A,9 years,RENT,30000,CA,32.44,2004,
A,7 years,MORTGAGE,100000,NH,17.51,2005,
A,10+ years,MORTGAGE,80000,CA,26.1,1990,
A,3 years,RENT,80000,AZ,26.61,2006,
A,10+ years,RENT,40000,FL,23.52,2007,
A,10+ years,RENT,60000,OR,15.86,2007,
A,1 year,RENT,60000,CA,17.67,2008,
A,1 year,RENT,40000,CA,15.25,2007,
A,4 years,MORTGAGE,125000,TX,19.05,2003,
A,2 years,RENT,40000,CO,16.08,2010,
A,7 years,MORTGAGE,150000,IL,8.5,2001,
A,< 1 year,MORTGAGE,30000,FL,8.33,2005,
A,10+ years,MORTGAGE,60000,FL,16.73,2001,
A,1 year,RENT,80000,MA,8.1,2007,
A,10+ years,MORTGAGE,80000,FL,17.2,1985,
A,10+ years,MORTGAGE,150000,TX,13.81,1998,
A,10+ years,MORTGAGE,100000,CA,6.72,2003,
A,4 years,MORTGAGE,40000,FL,21.35,2003,
A,10+ years,RENT,80000,TX,31.69,1992,
A,5 years,OWN,125000,IL,14.78,1988,
A,5 years,RENT,20000,WA,2.78,2007,
A,3 years,RENT,40000,CA,4.59,2008,
A,10+ years,MORTGAGE,150000,CA,10.08,1992,
A,10+ years,RENT,60000,VA,12.72,2003,
A,10+ years,MORTGAGE,40000,NY,23.71,2001,
A,10+ years,MORTGAGE,100000,MD,12.65,1995,
A,1 year,RENT,150000,CA,15.41,2005,
A,6 years,MORTGAGE,100000,IL,25.58,2007,
A,10+ years,RENT,80000,OR,36.96,1994,
A,10+ years,MORTGAGE,150000,NJ,11.2,1978,
A,9 years,OWN,40000,FL,3.15,2011,
A,5 years,MORTGAGE,80000,CA,7.49,2007,
A,2 years,OWN,150000,AZ,21.22,1994,
A,9 years,MORTGAGE,30000,NY,19.29,2006,
A,9 years,RENT,40000,CA,15.9,1999,
A,10+ years,MORTGAGE,80000,MO,16.27,1994,
A,3 years,RENT,80000,MS,13.86,2004,
A,10+ years,RENT,150000,NY,13.75,1994,
A,10+ years,RENT,125000,NY,29.81,1985,
A,10+ years,MORTGAGE,80000,MD,24.55,1989,
A,10+ years,MORTGAGE,80000,CA,14.62,1999,
A,7 years,MORTGAGE,80000,OK,25.53,2005,
A,< 1 year,RENT,20000,WI,25.05,2009,
A,3 years,RENT,40000,ME,26.2,2012,
A,1 year,RENT,60000,MI,16.21,2011,
A,10+ years,MORTGAGE,80000,KY,18.75,1989,
A,8 years,MORTGAGE,80000,NC,3.03,2001,
A,2 years,RENT,40000,FL,22.33,2008,
A,3 years,MORTGAGE,60000,CO,13.3,2003,
A,5 years,MORTGAGE,100000,CA,21.84,2004,
A,10+ years,RENT,150000,TX,9.3,1996,
A,7 years,RENT,40000,GA,30.2,2006,
A,10+ years,RENT,60000,CA,11.66,2007,
A,6 years,RENT,30000,WI,4.29,1990,
A,9 years,OWN,40000,NC,18.89,1995,
A,4 years,MORTGAGE,150000,PA,11,2002,
A,6 years,OWN,20000,GA,11.48,2009,
A,5 years,RENT,30000,NY,11.93,2007,
A,< 1 year,MORTGAGE,30000,NC,12.23,2011,
A,7 years,OWN,125000,GA,11.03,1991,
A,10+ years,RENT,60000,CA,18.84,1994,
A,3 years,RENT,60000,CO,12.89,2005,
A,7 years,RENT,30000,CO,22.76,2005,
A,10+ years,OWN,60000,NC,28.79,2003,
A,n/a,MORTGAGE,60000,CA,3.08,1982,
A,10+ years,MORTGAGE,100000,TX,26.47,1992,
A,1 year,RENT,30000,MT,21.33,2008,
A,10+ years,RENT,80000,HI,15.5,2006,
A,3 years,RENT,20000,NC,6.16,2013,
A,1 year,RENT,60000,MT,11.94,2003,
A,4 years,MORTGAGE,80000,CT,19.88,1997,
A,n/a,MORTGAGE,80000,MO,17.23,2001,
A,10+ years,MORTGAGE,40000,SC,16.9,1987,
A,3 years,RENT,80000,CA,29.99,2011,
A,10+ years,RENT,150000,CA,28.34,1988,
A,n/a,MORTGAGE,30000,OK,16.94,1995,
A,3 years,MORTGAGE,60000,FL,18.34,1997,
A,3 years,RENT,30000,NV,13.33,2006,
A,10+ years,MORTGAGE,100000,OK,18.23,2003,
A,< 1 year,MORTGAGE,100000,TN,15.54,1984,
A,5 years,MORTGAGE,100000,PA,12,1990,
A,1 year,RENT,100000,IL,7.28,1999,
A,2 years,RENT,40000,PA,18.45,2007,
A,10+ years,MORTGAGE,80000,OR,21.3,1992,
A,4 years,MORTGAGE,60000,NY,4.38,2005,
A,5 years,MORTGAGE,150000,IL,16.44,1996,
A,2 years,OWN,30000,TX,16.41,2007,
