grade,emp_length,home_ownership,income,state,debt to income,earliest credit
C,n/a,MORTGAGE,20000,OK,17,2007
C,4 years,RENT,15000,IL,31,2002
A,10+ years,OWN,100000,CA,25,1999
C,10+ years,MORTGAGE,80000,TX,20,2004
C,2 years,MORTGAGE,60000,OK,21,2004
C,3 years,MORTGAGE,100000,GA,19,1999
C,n/a,OWN,30000,IN,25,1998
C,4 years,MORTGAGE,60000,GA,26,1991
C,2 years,RENT,80000,AZ,22,2007
C,8 years,RENT,40000,KY,19,2008
C,2 years,MORTGAGE,40000,OH,30,2005
A,4 years,MORTGAGE,60000,NC,24,1996
A,3 years,RENT,150000,IL,16,1992
C,1 year,MORTGAGE,40000,CT,14,1997
A,6 years,RENT,125000,CA,12,1998
C,< 1 year,OWN,30000,MI,23,2007
A,3 years,RENT,30000,WI,9,1987
C,10+ years,MORTGAGE,40000,PA,10,2002
A,2 years,MORTGAGE,80000,FL,13,1980
C,8 years,MORTGAGE,15000,OK,34,2008
C,1 year,MORTGAGE,100000,NC,24,1993
C,< 1 year,OWN,40000,TX,14,2007
C,8 years,OWN,80000,AZ,11,2003
C,2 years,MORTGAGE,125000,FL,24,2001
C,2 years,MORTGAGE,40000,CA,19,2000
C,10+ years,RENT,40000,MD,31,2005
C,2 years,RENT,40000,GA,19,2005
A,5 years,MORTGAGE,60000,CA,7,2001
C,10+ years,MORTGAGE,80000,AZ,9,1992
C,10+ years,RENT,80000,CA,19,1998
C,10+ years,MORTGAGE,60000,MD,35,1980
C,10+ years,MORTGAGE,125000,CA,18,1999
C,10+ years,MORTGAGE,150000,PA,15,2003
C,n/a,RENT,15000,NV,9,2005
C,6 years,MORTGAGE,30000,IL,26,2003
C,6 years,MORTGAGE,40000,PA,33,2010
C,n/a,MORTGAGE,60000,FL,19,1972
C,5 years,RENT,40000,FL,12,2005
C,10+ years,MORTGAGE,80000,NY,18,2005
C,< 1 year,MORTGAGE,20000,WI,46,2001
C,10+ years,MORTGAGE,150000,TX,15,1996
C,8 years,OWN,60000,TX,34,2000
A,8 years,OWN,125000,ME,13,1986
C,3 years,MORTGAGE,20000,OK,27,2005
C,10+ years,RENT,60000,GA,34,2005
A,n/a,MORTGAGE,60000,CA,16,1987
C,10+ years,RENT,30000,CA,30,2000
